Men_ID,Men_descr,Rainette_faux_grillon_boreale,Rainette_faux_grillon_de_l_Ouest,Salamandre_a_quatre_orteils,Salamandre_pourpre_pop_des_Adirondacks_et_des_Appalaches,Salamandre_sombre_des_montagnes_pop_des_Appalaches,Chauve_souris_argentee,Chauve_souris_cendree,Chauve_souris_nordique,Chauve_souris_pygmee_de_l_Est,Chauve_souris_rousse_de_l_Est,Grande_chauve_souris_brune,Petite_chauve_souris_brune,Pipistrelle_de_l_Est,Satyre_fauve_des_Maritimes,Aigle_royal,Arlequin_plongeur_pop_de_l_Est,Becasseau_maubeche_rufa,Bruant_sauterelle_pratensis,Garrot_d_Islande_pop_de_l_Est,Grebe_esclavon,Grive_de_Bicknell,Guifette_noire,Hibou_des_marais,Hirondelle_de_rivage,Martinet_ramoneur,Oceanite_Cul_blanc,Paruline_a_ailes_dorees,Paruline_azuree,Petit_blongios,Pluvier_siffleur_melodus,Rale_jaune,Sterne_de_Dougall,Belette_pygmee,Campagnol_lemming_de_Cooper,Campagnol_des_rochers,Campagnol_sylvestre,Musaraigne_de_Gaspe,Musaraigne_longicaude,Petit_polatouche_pop_des_plaines_des_Grands_Lacs,Alose_savoureuse,Brochet_maille,Brochet_vermicule,Chabot_de_profondeur,Chat_fou_des_rapides,Chevalier_cuivre,Chevalier_de_riviere,Cisco_de_printemps,Crapet_du_Nord,Dard_de_sable,eperlan_arc_en_ciel_pop_du_sud_de_l_estuaire_du_Saint_Laurent,Esturgeon_jaune,Esturgeon_noir,Fouille_roche_gris,Lamproie_du_Nord,Mene_laiton,Mene_d_herbe,Omble_chevalier_oquassa,Couleuvre_a_collier_du_Nord,Couleuvre_brune,Couleuvre_d_eau_du_Nord,Couleuvre_mince_du_Nord,Couleuvre_tachetee,Couleuvre_verte,Tortue_des_bois,Tortue_geographique,Tortue_molle_a_epines,Tortue_mouchetee,Tortue_musquee
4.4.1,Corridors aériens_N3,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.1,Chasse,,,,,,,,,,,,,,,Légère,Inconnue,,,Légère,Modérée,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.2,Piégeage,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,Extrême,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.4,Braconnage/persécution d'animaux terrestres,,,,,,,,,,,,,,,Sérieuse,,,,,Inconnue,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,Modérée,Légère,Légère,Sérieuse,Légère,Sérieuse,Sérieuse,Inconnue,Sérieuse,Sérieuse
5.1.5,Contrôle/gestion d'animaux terrestres,,,,,,,,Modérée,,,Sérieuse,Sérieuse,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2.1,Cueillette récréative ou de subsistance,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,Extrême,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3.1,Retrait total du couvert forestier,,,Extrême,Extrême,Extrême,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,Sérieuse,Modérée,,,Sérieuse,,Sérieuse,,,,Légère,,,Extrême,,,,,Sérieuse,Sérieuse,Extrême,Extrême,Sérieuse,Sérieuse,Extrême,,,,,,,,,,,,,,,,,,,Extrême,,,,,,Légère,,,,
5.3.2,Retrait partiel du couvert forestier,,,Sérieuse,Sérieuse,Sérieuse,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,,,Modérée,,,Sérieuse,,Modérée,,,,Légère,,,Sérieuse,,,,,,Modérée,Sérieuse,Sérieuse,Modérée,Modérée,Sérieuse,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.3.3,Traitements d'éducation,,,,,,Modérée,Modérée,,,Modérée,,,,,,,,,,,Sérieuse,,,,,,,Modérée,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.3.4,Régénération artificielle des peuplements,,,,,,,,,,,,,,,,,,Inconnue,,,Sérieuse,,,,,,Modérée,Modérée,,,Sérieuse,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.3.5,Préparation de terrain après coupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.4.1,Pêche récréative ou de subsistance,,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,Modérée,,,,,,,,,,Légère,Légère,,,,Légère,Légère,Légère,Légère,,Légère,Légère,Légère,,,Légère,,Légère,,,,,,,Négligeable,Légère,Modérée,,Légère
5.4.2,Pêche commerciale industrielle,,,,,,,,,,,,,,,,,,,Légère,Modérée,,,,,,,,,,,,,,,,,,,,Légère,,,,,Légère,Légère,,Légère,,,Légère,Légère,,,,,,,,,,,,,Légère,,Légère,Modérée
5.4.3,Braconnage/persécution d'espèces aquatiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,
6.1.1,Véhicules motorisés,Légère,Légère,Modérée,Légère,Légère,,,,,,,,,Légère,Modérée,,Modérée,Inconnue,Modérée,Modérée,Modérée,,Modérée,Légère,,,,,,Extrême,,,Négligeable,,,,,,,,,,,,,,,,,,,,,,,,,,,Négligeable,Légère,Légère,Légère,Légère,Légère,Légère,Légère,
6.1.2,Randonnée,,,,,,,,,,,,,,,Sérieuse,,Modérée,,,Modérée,Modérée,,,Légère,,Négligeable,,,,Extrême,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,
6.1.3,Usage récréatif des falaises et parois rocheuses,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.4,Navigation de plaisance,,,,,,,,,,,,,,,,Légère,Modérée,,Légère,,,Inconnue,,Légère,,,,,Modérée,,,,,,,,,,,,,,,,Sérieuse,Sérieuse,,Sérieuse,Sérieuse,,,,Sérieuse,,,Sérieuse,,,,,,,,Légère,Sérieuse,Modérée,,Modérée
6.1.5,Camping sauvage sans aménagement,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,Négligeable,,,,Extrême,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.7,Spéléologie,,,,,,,,Sérieuse,Sérieuse,,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.8,Observation de la nature/photographie,,,,,,,,,,,,,,,Sérieuse,,Modérée,,,Modérée,,,,,,,,,Modérée,Sérieuse,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Négligeable,,,,,,,,
6.1.9,Événements spéciaux en milieu naturel,,,,,,,,,,,,,,,,,,Inconnue,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3.1,Activités de recherche,,,,,,,,,,,,,,,Légère,,Négligeable,,,,,,,,,Négligeable,,,,,,,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,
6.3.2,Activités illégales,,,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3.3,Vandalisme,,,,,,,,Modérée,Modérée,,Modérée,Modérée,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1.1,Augmentation du régime des feux,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,Inconnue,,,,,,,,,Légère,,Modérée,Modérée,Modérée,Modérée,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2.1,Gestion du niveau de l'eau par barrage,,,,Inconnue,Inconnue,,,,,,,,,,,Sérieuse,Légère,,,,,Inconnue,,Sérieuse,,,,,Sérieuse,,Modérée,,,,,,,,,Modérée,Modérée,Modérée,,Modérée,Sérieuse,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,,Sérieuse,Modérée,Modérée,,,,Modérée,,,,Légère,Légère,Modérée,,Légère
7.2.2,Gestion des barrages de castor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,Légère,,,,,,Modérée,
