ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
406342,"Sud-Ouest","SO","I","SO-I-1002013",2019-10-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",797.168,"44",,2019-11-03
406396,"Sud-Ouest","SO","U","SO-U-1004024",2021-09-01,,"Ouverte","Plates-bandes et mobilier","Mixte",801.556,,,2020-12-18
405732,"Sud-Ouest","SO","A","SO-A-1004009",2016-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Mixte",122.108,"11",,2019-11-04
405733,"Sud-Ouest","SO","H","SO-H-1004017",2020-07-01,,"Fermée","Plates-bandes","Végétalisée",122.356,"93",,2020-12-18
406596,"Verdun","VRD","J","VRD-J-1020121",2012-09-22,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",903.321,,,2020-11-26
403091,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000094",2017-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",830.275,,,2019-11-28
406533,"Sud-Ouest","SO","I","SO-I-1002010",2017-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1237.753,,,2019-11-03
406402,"Sud-Ouest","SO","H","SO-H-1004001",2017-07-01,2019-11-01,"Ouverte","Mobilier","Asphalté ou bétonnée",826.267,,,2019-11-04
403152,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000020",2011-07-01,,"Fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",255.15,,,2019-12-03
404801,"Villeray - St-Michel - Parc-Extension","VSMPE","T","VSMPE-T-1100022",2019-07-01,,"Ouverte",,"Asphalté ou bétonnée",146.554,,,2019-10-22
402218,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000044",2013-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",111.302,,,2019-12-02
403908,"Plateau - Mont-Royal","PMR","H","PMR-H-1000028",2003-08-01,2018-08-01,"Ouverte","Plates-bandes et mobilier","Mixte",967.133,,,2019-11-14
404803,"Villeray - St-Michel - Parc-Extension","VSMPE","T","VSMPE-T-1100022",2019-07-01,,"Ouverte",,"Asphalté ou bétonnée",148.169,,,2019-10-22
402917,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000019",2011-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",130.103,,,2019-12-03
406166,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000035",2013-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1883.124,,,2019-12-02
403910,"Plateau - Mont-Royal","PMR","T","PMR-T-1000051",2014-08-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",974.551,,,2019-11-14
405600,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1300019",2019-07-01,,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",488.407,"8.6",,2019-10-31
405601,"Villeray - St-Michel - Parc-Extension","VSMPE","L","VSMPE-L-1200012",2018-07-01,2021-07-01,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",491.97,"13.56",,2022-10-11
406221,"Sud-Ouest","SO","A","SO-A-1003003",2014-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",46.449,,,2019-10-21
406222,"Sud-Ouest","SO","A","SO-A-1003002",2014-07-01,,"Fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",46.783,,,2019-10-21
405998,"Verdun","VRD","H","VRD-H-1020101",2010-06-05,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",143.114,,,2020-11-26
405999,"Verdun","VRD","T","VRD-T-1020133",2013-10-05,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",143.165,,,2020-11-26
405852,"Verdun","VRD","H","VRD-H-1020111",2011-05-29,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",158.729,,,2020-11-26
405854,"Verdun","VRD","E","VRD-E-1020181",2018-06-02,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",159.065,,,2020-11-26
405856,"Verdun","VRD","H","VRD-H-1020212",,,"Partiellement fermée","Plates-bandes et mobilier","Mixte",160.095,,,2020-11-26
405699,"Verdun","VRD","H","VRD-H-1020122",2012-09-22,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",144.53,,,2020-11-26
405700,"Verdun","VRD","T","VRD-T-1020152",2015-06-13,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",144.818,,,2020-11-26
405702,"Verdun","VRD","H","VRD-H-1020212",,,"Partiellement fermée","Plates-bandes et mobilier","Mixte",145.181,,,2020-11-26
405703,"Verdun","VRD","H","VRD-H-1020171",2017-05-27,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",146.14,,,2020-11-26
405704,"Verdun","VRD","H","VRD-H-1020161",2016-05-14,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",146.405,,,2020-11-26
404793,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1300018",2020-07-01,,"Fermée","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",145.281,"3.27",,2020-11-24
404663,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1300025",2022-07-01,,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",138.695,"0",,2022-10-12
404664,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1300025",2022-07-01,,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",139.3,"0",,2022-10-12
406224,"Sud-Ouest","SO","A","SO-A-1003002",2014-07-01,,"Fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",50.783,,,2019-10-21
402923,"Rosemont - La Petite-Patrie","RPP","J","RPP-J-1000001",2010-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",130.764,,,2019-11-15
402928,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000025",2012-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",131.44,,,2019-12-06
402890,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000007",2018-07-01,,"Ouverte","Plates-bandes et mobilier","Gazonnée",723.401,,,2019-11-15
402891,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000096",2017-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",728.69,,,2019-11-28
405889,"Sud-Ouest","SO","H","SO-H-1004015",2020-07-01,,"Ouverte",,"Asphalté ou bétonnée",128.106,"0",,2020-12-18
406459,"Sud-Ouest","SO","A","SO-A-1004003",2015-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",198.73,"3.4",,2019-11-04
406405,"Sud-Ouest","SO","I","SO-I-1002002",2016-07-01,2017-07-01,"Ouverte","Mobilier","Mixte",831.843,,,2019-11-03
405154,"Villeray - St-Michel - Parc-Extension","VSMPE","T","VSMPE-T-1100035",2022-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",100.576,"1.87",,2022-10-12
405211,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1400001",2015-07-01,2019-07-01,"Partiellement fermée","Mobilier et marquage au sol","Asphalté ou bétonnée",101.235,"0",,2022-10-11
