Numero_accession,Categorie_objet,Sous_categorie_objet,Nom_objet,Type_objet,Autres_noms_objet,Artiste_artisan,Autre_artiste_artisan,Titre,Variante_titre,Fabricant,Pays_fabricant,Province_fabricant,Ville_fabricant,Date_debut_production,Date_fin_production,Periode,Materiaux,Medium,Support,Technique_fabrication,Sujet_image,Continent_origine,Pays_origine,Province_origine,Ville_origine,Ecole_style,Culture,Secteur_geo_culturel,Territoire_ancestral_correspondant,Mode_acquisition,Date_accession
2005.5.3.4,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Le Train de Portage-des-Prés,L'école de la petite poule d'eau,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",paysage; objet,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.5,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,L'Arrivée de Mademoiselle,de la série La petite poule d'eau,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.6,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,La Famille de Luzina,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",portrait,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.7,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Joséphine,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",portrait; paysage,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.8,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Portage-des-Prés,de la série La petite poule d'eau,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",paysage,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.9,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Mademoiselle,de la série La petite poule d'eau,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",portrait,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.10,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,La Perdrix,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",animal,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.11,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Armand Dubreuil,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",portrait,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.12,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Le Départ de Mademoiselle,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.13,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Hippolyte à la Chasse,de la série La petite poule d'eau,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.14,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Le Capucin de Toutes-Aides,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",portrait,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.15,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Le Train d'Hippolyte,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.16,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,L'Église orthodoxe,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre; religion,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
